num_models,fold,doc_offset,corpus_span,corpus_ent_type,error_type,correct_span,correct_ent_type,notes,time_started,time_stopped,time_elapsed
17,train,435,"[3099, 3104): 'Stich'",PER,,,,,,,
17,train,435,"[3226, 3236): 'Kafelnikov'",PER,,,,,,,
17,train,435,"[3273, 3278): 'Stich'",PER,,,,,,,
17,train,435,"[3327, 3332): 'Spain'",LOC,,,,,,,
17,train,435,"[3335, 3349): 'Felix Mantilla'",PER,,,,,,,
17,train,435,"[3455, 3460): 'Stich'",PER,,,,,,,
17,train,436,"[52, 60): 'NEW YORK'",LOC,,,,,,,
17,train,436,"[120, 129): 'U.S. Open'",MISC,,,,,,,
17,train,436,"[158, 180): 'National Tennis Centre'",LOC,,,,,,,
17,train,436,"[227, 241): 'Martina Hingis'",PER,,,,,,,
17,train,436,"[243, 254): 'Switzerland'",LOC,,,,,,,
17,train,436,"[261, 277): 'Angeles Montolio'",PER,,,,,,,
17,train,436,"[279, 284): 'Spain'",LOC,,,,,,,
17,train,436,"[294, 311): 'Anne-Gaelle Sidot'",PER,,,,,,,
17,train,436,"[313, 319): 'France'",LOC,,,,,,,
17,train,436,"[326, 342): 'Janette Husarova'",PER,,,,,,,
17,train,436,"[344, 352): 'Slovakia'",LOC,,,,,,,
17,train,436,"[366, 389): 'Brenda Schultz-McCarthy'",PER,,,,,,,
17,train,436,"[391, 402): 'Netherlands'",LOC,,,,,,,
17,train,436,"[409, 420): 'Nana Miyagi'",PER,,,,,,,
17,train,436,"[422, 427): 'Japan'",LOC,,,,,,,
17,train,436,"[437, 453): 'Aleksandra Olsza'",PER,,,,,,,
17,train,436,"[455, 461): 'Poland'",LOC,,,,,,,
17,train,436,"[472, 489): 'Magdalena Maleeva'",PER,,,,,,,
17,train,436,"[491, 499): 'Bulgaria'",LOC,,,,,,,
17,train,436,"[523, 536): 'Michael Stich'",PER,,,,,,,
17,train,436,"[538, 545): 'Germany'",LOC,,,,,,,
17,train,436,"[552, 562): 'Tommy Haas'",PER,,,,,,,
17,train,436,"[564, 571): 'Germany'",LOC,,,,,,,
17,train,436,"[589, 603): 'Sergi Bruguera'",PER,,,,,,,
17,train,436,"[605, 610): 'Spain'",LOC,,,,,,,
17,train,436,"[617, 630): 'Kris Goossens'",PER,,,,,,,
17,train,436,"[632, 639): 'Belgium'",LOC,,,,,,,
17,train,436,"[659, 674): 'Frederic Vitoux'",PER,,,,,,,
17,train,436,"[676, 682): 'France'",LOC,,,,,,,
17,train,436,"[689, 702): 'Ramon Delgado'",PER,,,,,,,
17,train,436,"[704, 712): 'Paraguay'",LOC,,,,,,,
17,train,436,"[748, 765): 'Henrietta Nagyova'",PER,,,,,,,
17,train,436,"[767, 775): 'Slovakia'",LOC,,,,,,,
17,train,436,"[782, 798): 'Gala Leon Garcia'",PER,,,,,,,
17,train,436,"[800, 805): 'Spain'",LOC,,,,,,,
17,train,436,"[819, 831): 'Asa Carlsson'",PER,,,,,,,
17,train,436,"[833, 839): 'Sweden'",LOC,,,,,,,
17,train,436,"[846, 863): 'Gloria Pizzichini'",PER,,,,,,,
17,train,436,"[865, 870): 'Italy'",LOC,,,,,,,
17,train,436,"[884, 898): 'Barbara Schett'",PER,,,,,,,
17,train,436,"[900, 907): 'Austria'",LOC,,,,,,,
17,train,436,"[914, 930): 'Sabine Appelmans'",PER,,,,,,,
17,train,436,"[932, 939): 'Belgium'",LOC,,,,,,,
17,train,436,"[953, 976): 'Cristina Torrens-Valero'",PER,,,,,,,
17,train,436,"[978, 983): 'Spain'",LOC,,,,,,,
17,train,436,"[990, 1001): 'Sabine Hack'",PER,,,,,,,
17,train,436,"[1003, 1010): 'Germany'",LOC,,,,,,,
17,train,436,"[1040, 1053): 'Helena Sukova'",PER,,,,,,,
17,train,436,"[1055, 1069): 'Czech Republic'",LOC,,,,,,,
17,train,436,"[1076, 1086): 'Yone Kamio'",PER,,,,,,,
17,train,436,"[1088, 1093): 'Japan'",LOC,,,,,,,
17,train,436,"[1103, 1116): 'Irina Spirlea'",PER,,,,,,,
17,train,436,"[1118, 1125): 'Romania'",LOC,,,,,,,
17,train,436,"[1132, 1145): 'Petra Begerow'",PER,,,,,,,
17,train,436,"[1147, 1154): 'Germany'",LOC,,,,,,,
17,train,436,"[1164, 1182): 'Maria Jose Gaidano'",PER,,,,,,,
17,train,436,"[1184, 1193): 'Argentina'",LOC,,,,,,,
17,train,436,"[1200, 1215): 'Melanie Schnell'",PER,,,,,,,
17,train,436,"[1217, 1224): 'Austria'",LOC,,,,,,,
17,train,436,"[1248, 1259): 'Carlos Moya'",PER,,,,,,,
17,train,436,"[1261, 1266): 'Spain'",LOC,,,,,,,
17,train,436,"[1273, 1288): 'Scott Humphries'",PER,,,,,,,
17,train,436,"[1290, 1294): 'U.S.'",LOC,,,,,,,
17,train,436,"[1328, 1343): 'Kenneth Carlsen'",PER,,,,,,,
17,train,436,"[1345, 1352): 'Denmark'",LOC,,,,,,,
17,train,436,"[1359, 1373): 'Patrick Rafter'",PER,,,,,,,
17,train,436,"[1375, 1384): 'Australia'",LOC,,,,,,,
17,train,436,"[1410, 1427): 'Magnus Gustafsson'",PER,,,,,,,
17,train,436,"[1429, 1435): 'Sweden'",LOC,,,,,,,
17,train,436,"[1442, 1454): 'Carlos Costa'",PER,,,,,,,
17,train,436,"[1456, 1461): 'Spain'",LOC,,,,,,,
17,train,436,"[1485, 1497): 'Jeff Tarango'",PER,,,,,,,
17,train,436,"[1499, 1503): 'U.S.'",LOC,,,,,,,
17,train,436,"[1510, 1524): 'Alex Radulescu'",PER,,,,,,,
17,train,436,"[1526, 1533): 'Romania'",LOC,,,,,,,
17,train,436,"[1596, 1614): 'MaliVai Washington'",PER,,,,,,,
17,train,436,"[1616, 1620): 'U.S.'",LOC,,,,,,,
17,train,436,"[1627, 1638): 'Karim Alami'",PER,,,,,,,
17,train,436,"[1640, 1647): 'Morocco'",LOC,,,,,,,
17,train,436,"[1671, 1680): 'Dirk Dier'",PER,,,,,,,
17,train,436,"[1682, 1689): 'Germany'",LOC,,,,,,,
17,train,436,"[1696, 1707): 'Chuck Adams'",PER,,,,,,,
17,train,436,"[1709, 1713): 'U.S.'",LOC,,,,,,,
17,train,436,"[1731, 1748): 'Jason Stoltenberg'",PER,,,,,,,
17,train,436,"[1750, 1759): 'Australia'",LOC,,,,,,,
17,train,436,"[1766, 1785): 'Stefano Pescosolido'",PER,,,,,,,
17,train,436,"[1787, 1792): 'Italy'",LOC,,,,,,,
17,train,436,"[1806, 1820): 'Arnaud Boetsch'",PER,,,,,,,
17,train,436,"[1822, 1828): 'France'",LOC,,,,,,,
17,train,436,"[1835, 1850): 'Nicolas Pereira'",PER,,,,,,,
17,train,436,"[1852, 1861): 'Venezuela'",LOC,,,,,,,
17,train,436,"[1881, 1895): 'David Prinosil'",PER,,,,,,,
17,train,436,"[1897, 1904): 'Germany'",LOC,,,,,,,
17,train,436,"[1911, 1926): 'Peter Tramacchi'",PER,,,,,,,
17,train,436,"[1928, 1937): 'Australia'",LOC,,,,,,,
17,train,436,"[1981, 1995): 'Amanda Coetzer'",PER,,,,,,,
17,train,436,"[1997, 2009): 'South Africa'",LOC,,,,,,,
17,train,436,"[2019, 2029): 'Anke Huber'",PER,,,,,,,
17,train,436,"[2031, 2038): 'Germany'",LOC,,,,,,,
17,train,436,"[2052, 2067): 'Anna Kournikova'",PER,,,,,,,
17,train,436,"[2069, 2075): 'Russia'",LOC,,,,,,,
17,train,436,"[2102, 2116): 'Czech Republic'",LOC,,,,,,,
17,train,436,"[2132, 2145): 'Debbie Graham'",PER,,,,,,,
17,train,436,"[2147, 2151): 'U.S.'",LOC,,,,,,,
17,train,436,"[2158, 2175): 'Stephanie Deville'",PER,,,,,,,
17,train,436,"[2177, 2184): 'Belarus'",LOC,,,,,,,
17,train,436,"[2194, 2209): 'Barbara Rittner'",PER,,,,,,,
17,train,436,"[2211, 2218): 'Germany'",LOC,,,,,,,
17,train,436,"[2225, 2245): 'Katarina Studenikova'",PER,,,,,,,
17,train,436,"[2247, 2255): 'Slovakia'",LOC,,,,,,,
17,train,436,"[2265, 2280): 'Kristina Brandi'",PER,,,,,,,
17,train,436,"[2282, 2286): 'U.S.'",LOC,,,,,,,
17,train,436,"[2293, 2305): 'Andrea Glass'",PER,,,,,,,
17,train,436,"[2307, 2314): 'Germany'",LOC,,,,,,,
17,train,436,"[2324, 2342): 'Ines Gorrochategui'",PER,,,,,,,
17,train,436,"[2344, 2353): 'Argentina'",LOC,,,,,,,
17,train,436,"[2360, 2380): 'Magdalena Grzybowska'",PER,,,,,,,
17,train,436,"[2382, 2388): 'Poland'",LOC,,,,,,,
17,train,436,"[2416, 2435): 'Alberto Berasategui'",PER,,,,,,,
17,train,436,"[2437, 2442): 'Spain'",LOC,,,,,,,
17,train,436,"[2449, 2461): 'Cecil Mamiit'",PER,,,,,,,
17,train,436,"[2463, 2467): 'U.S.'",LOC,,,,,,,
17,train,436,"[2481, 2496): 'Guillaume Raoux'",PER,,,,,,,
17,train,436,"[2498, 2504): 'France'",LOC,,,,,,,
17,train,436,"[2511, 2523): 'Filip Dewulf'",PER,,,,,,,
17,train,436,"[2525, 2532): 'Belgium'",LOC,,,,,,,
17,train,436,"[2560, 2572): 'Alex O'Brien'",PER,,,,,,,
17,train,436,"[2574, 2578): 'U.S.'",LOC,,,,,,,
17,train,436,"[2585, 2601): 'Nicolas Lapentti'",PER,,,,,,,
17,train,436,"[2603, 2610): 'Ecuador'",LOC,,,,,,,
17,train,436,"[2631, 2644): 'Michael Chang'",PER,,,,,,,
17,train,436,"[2646, 2650): 'U.S.'",LOC,,,,,,,
17,train,436,"[2657, 2669): 'Jaime Oncins'",PER,,,,,,,
17,train,436,"[2671, 2677): 'Brazil'",LOC,,,,,,,
17,train,436,"[2722, 2736): 'Barbara Paulus'",PER,,,,,,,
17,train,436,"[2738, 2745): 'Austria'",LOC,,,,,,,
17,train,436,"[2752, 2764): 'Yi Jing-Qian'",PER,,,,,,,
17,train,436,"[2766, 2771): 'China'",LOC,,,,,,,
17,train,436,"[2781, 2794): 'Wang Shi-Ting'",PER,,,,,,,
17,train,436,"[2796, 2802): 'Taiwan'",LOC,,,,,,,
17,train,436,"[2809, 2823): 'Corina Morariu'",PER,,,,,,,
17,train,436,"[2825, 2829): 'U.S.'",LOC,,,,,,,
17,train,436,"[2849, 2859): 'Linda Wild'",PER,,,,,,,
17,train,436,"[2861, 2865): 'U.S.'",LOC,,,,,,,
17,train,436,"[2908, 2923): 'Sarah Pitkowski'",PER,,,,,,,
17,train,436,"[2925, 2931): 'France'",LOC,,,,,,,
17,train,436,"[2938, 2957): 'Meghann Shaughnessy'",PER,,,,,,,
17,train,436,"[2959, 2963): 'U.S.'",LOC,,,,,,,
17,train,436,"[2974, 2992): 'Dally Randriantefy'",PER,,,,,,,
17,train,436,"[2994, 3004): 'Madagascar'",LOC,,,,,,,
17,train,436,"[3011, 3025): 'Elena Makarova'",PER,,,,,,,
17,train,436,"[3027, 3033): 'Russia'",LOC,,,,,,,
17,train,436,"[3048, 3065): 'Laurence Courtois'",PER,,,,,,,
17,train,436,"[3067, 3074): 'Belgium'",LOC,,,,,,,
17,train,436,"[3097, 3102): 'Italy'",LOC,,,,,,,
17,train,436,"[3130, 3142): 'Leander Paes'",PER,,,,,,,
17,train,436,"[3144, 3149): 'India'",LOC,,,,,,,
17,train,436,"[3156, 3171): 'Marcos Ondruska'",PER,,,,,,,
17,train,436,"[3220, 3231): 'Netherlands'",LOC,,,,,,,
17,train,436,"[3238, 3252): 'Carl-Uwe Steeb'",PER,,,,,,,
17,train,436,"[3254, 3261): 'Germany'",LOC,,,,,,,
17,train,436,"[3286, 3300): 'Neville Godwin'",PER,,,,,,,
17,train,436,"[3302, 3314): 'South Africa'",LOC,,,,,,,
17,train,436,"[3321, 3336): 'Tomas Carbonell'",PER,,,,,,,
17,train,436,"[3338, 3343): 'Spain'",LOC,,,,,,,
17,train,436,"[3361, 3370): 'Jim Grabb'",PER,,,,,,,
17,train,436,"[3372, 3376): 'U.S.'",LOC,,,,,,,
17,train,436,"[3383, 3396): 'Sandon Stolle'",PER,,,,,,,
17,train,436,"[3398, 3407): 'Australia'",LOC,,,,,,,
17,train,436,"[3443, 3458): 'Alexandra Fusai'",PER,,,,,,,
17,train,436,"[3460, 3466): 'France'",LOC,,,,,,,
17,train,436,"[3473, 3485): 'Jill Craybas'",PER,,,,,,,
17,train,436,"[3487, 3491): 'U.S.'",LOC,,,,,,,
17,train,436,"[3505, 3519): 'Naoko Kijimuta'",PER,,,,,,,
17,train,436,"[3521, 3526): 'Japan'",LOC,,,,,,,
17,train,436,"[3533, 3550): 'Tatyana Jecmenica'",PER,,,,,,,
17,train,436,"[3552, 3562): 'Yugoslavia'",LOC,,,,,,,
17,train,436,"[3572, 3586): 'Nathalie Dechy'",PER,,,,,,,
17,train,436,"[3588, 3594): 'France'",LOC,,,,,,,
17,train,436,"[3601, 3617): 'Christina Singer'",PER,,,,,,,
17,train,436,"[3619, 3626): 'Germany'",LOC,,,,,,,
17,train,436,"[3636, 3644): 'Jane Chi'",PER,,,,,,,
17,train,436,"[3646, 3650): 'U.S.'",LOC,,,,,,,
17,train,436,"[3657, 3686): 'Maria Antonio Sanchez Lorenzo'",PER,,,,,,,
17,train,436,"[3688, 3693): 'Spain'",LOC,,,,,,,
17,train,436,"[3707, 3718): 'Els Callens'",PER,,,,,,,
17,train,436,"[3720, 3727): 'Belgium'",LOC,,,,,,,
17,train,436,"[3734, 3748): 'Nicole Bradtke'",PER,,,,,,,
17,train,436,"[3750, 3759): 'Australia'",LOC,,,,,,,
17,train,436,"[3781, 3796): 'Natalia Baudone'",PER,,,,,,,
17,train,436,"[3798, 3803): 'Italy'",LOC,,,,,,,
17,train,436,"[3810, 3825): 'Jolene Watanabe'",PER,,,,,,,
17,train,436,"[3827, 3831): 'U.S.'",LOC,,,,,,,
17,train,436,"[3851, 3862): 'Ai Sugiyama'",PER,,,,,,,
17,train,436,"[3864, 3869): 'Japan'",LOC,,,,,,,
17,train,436,"[3876, 3888): 'Jana Kandarr'",PER,,,,,,,
17,train,436,"[3890, 3897): 'Germany'",LOC,,,,,,,
17,train,437,"[64, 71): 'ATLANTA'",LOC,,,,,,,
17,train,437,"[83, 94): 'Brian McRae'",PER,,,,,,,
17,train,437,"[106, 119): 'Tyler Houston'",PER,,,,,,,
17,train,437,"[172, 184): 'Chicago Cubs'",ORG,,,,,,,
17,train,437,"[238, 252): 'Atlanta Braves'",ORG,,,,,,,
17,train,437,"[336, 348): 'Kevin Foster'",PER,,,,,,,
17,train,437,"[549, 555): 'Foster'",PER,,,,,,,
17,train,437,"[612, 620): 'Colorado'",LOC,,,,,,,
17,train,437,"[622, 636): 'Vinny Castilla'",PER,,,,,,,
17,train,437,"[678, 690): 'Larry Walker'",PER,,,,,,,
17,train,437,"[727, 730): 'RBI'",MISC,,,,,,,
17,train,437,"[738, 754): 'Colorado Rockies'",ORG,,,,,,,
17,train,437,"[770, 788): 'Pittsburgh Pirates'",ORG,,,,,,,
17,train,437,"[913, 925): 'Marc Wilkins'",PER,,,,,,,
17,train,437,"[1010, 1021): 'John Ericks'",PER,,,,,,,
17,train,437,"[1051, 1065): 'Edgar Renteria'",PER,,,,,,,
17,train,437,"[1124, 1137): 'Jesus Tavarez'",PER,,,,,,,
17,train,437,"[1166, 1181): 'Florida Marlins'",ORG,,,,,,,
17,train,437,"[1192, 1207): 'Cincinnati Reds'",ORG,,,,,,,
17,train,437,"[1227, 1232): 'Edgar'",PER,,,,,,,
17,train,437,"[1277, 1284): 'Tavarez'",PER,,,,,,,
17,train,437,"[1371, 1376): 'Edgar'",PER,,,,,,,
17,train,437,"[1434, 1444): 'John Boles'",PER,,,,,,,
17,train,437,"[1514, 1527): 'San Francisco'",LOC,,,,,,,
17,train,437,"[1529, 1545): 'Osvaldo Fenandez'",PER,,,,,,,
17,train,437,"[1571, 1587): 'Trenidad Hubbard'",PER,,,,,,,
17,train,437,"[1618, 1638): 'San Francisco Giants'",ORG,,,,,,,
17,train,437,"[1689, 1703): 'Montreal Expos'",ORG,,,,,,,
17,train,437,"[1710, 1719): 'Fernandez'",PER,,,,,,,
17,train,437,"[1827, 1835): 'Montreal'",ORG,,,,,,,
17,train,437,"[1840, 1851): 'Los Angeles'",LOC,,,,,,,
17,train,437,"[1853, 1863): 'Greg Gagne'",PER,,,,,,,
17,train,437,"[1893, 1904): 'Chad Curtis'",PER,,,,,,,
17,train,437,"[2208, 2220): 'Bill Russell'",PER,,,,,,,
17,train,437,"[2229, 2240): 'Mike Piazza'",PER,,,,,,,
17,train,437,"[2244, 2253): 'San Diego'",LOC,,,,,,,
17,train,437,"[2255, 2267): 'Steve Finley'",PER,,,,,,,
17,train,437,"[2272, 2281): 'Jody Reed'",PER,,,,,,,
17,train,437,"[2316, 2332): 'San Diego Padres'",ORG,,,,,,,
17,train,437,"[2414, 2435): 'Philadelphia Phillies'",ORG,,,,,,,
17,train,437,"[2437, 2449): 'Ken Caminiti'",PER,,,,,,,
17,train,437,"[2472, 2478): 'Padres'",ORG,,,,,,,
17,train,437,"[2558, 2577): 'Los Angeles Dodgers'",ORG,,,,,,,
17,train,437,"[2585, 2605): 'National League West'",MISC,,,,,,,
17,train,437,"[2610, 2617): 'Houston'",LOC,,,,,,,
17,train,437,"[2619, 2631): 'Jeff Bagwell'",PER,,,,,,,
17,train,437,"[2644, 2654): 'Donne Wall'",PER,,,,,,,
17,train,437,"[2697, 2711): 'Houston Astros'",ORG,,,,,,,
17,train,437,"[2725, 2744): 'St. Louis Cardinals'",ORG,,,,,,,
17,train,437,"[2820, 2826): 'Astros'",ORG,,,,,,,
17,train,437,"[2858, 2867): 'Cardinals'",ORG,,,,,,,
17,train,437,"[2888, 2911): 'National League Central'",MISC,,,,,,,
17,train,438,"[21, 33): 'MAJOR LEAGUE'",MISC,,,,,,,
17,train,438,"[66, 74): 'NEW YORK'",LOC,,,,,,,
17,train,438,"[256, 264): 'NEW YORK'",ORG,,,,,,,
17,train,438,"[277, 286): 'BALTIMORE'",ORG,,,,,,,
17,train,438,"[300, 306): 'BOSTON'",ORG,,,,,,,
17,train,438,"[320, 327): 'TORONTO'",ORG,,,,,,,
17,train,438,"[385, 394): 'CLEVELAND'",ORG,,,,,,,
17,train,438,"[407, 414): 'CHICAGO'",ORG,,,,,,,
17,train,438,"[428, 437): 'MINNESOTA'",ORG,,,,,,,
17,train,438,"[452, 461): 'MILWAUKEE'",ORG,,,,,,,
17,train,438,"[480, 491): 'KANSAS CITY'",ORG,,,,,,,
17,train,438,"[541, 548): 'SEATTLE'",ORG,,,,,,,
17,train,438,"[562, 569): 'OAKLAND'",ORG,,,,,,,
17,train,438,"[584, 594): 'CALIFORNIA'",ORG,,,,,,,
17,train,438,"[663, 670): 'OAKLAND'",ORG,,,,,,,
17,train,438,"[811, 818): 'ATLANTA'",ORG,,,,,,,
17,train,438,"[831, 839): 'MONTREAL'",ORG,,,,,,,
17,train,438,"[854, 861): 'FLORIDA'",ORG,,,,,,,
17,train,438,"[876, 884): 'NEW YORK'",ORG,,,,,,,
17,train,438,"[899, 911): 'PHILADELPHIA'",ORG,,,,,,,
17,train,438,"[963, 971): 'ST LOUIS'",ORG,,,,,,,
17,train,438,"[989, 996): 'CHICAGO'",ORG,,,,,,,
17,train,438,"[1014, 1024): 'CINCINNATI'",ORG,,,,,,,
17,train,438,"[1038, 1048): 'PITTSBURGH'",ORG,,,,,,,
17,train,438,"[1106, 1117): 'LOS ANGELES'",ORG,,,,,,,
17,train,438,"[1131, 1139): 'COLORADO'",ORG,,,,,,,
17,train,438,"[1157, 1170): 'SAN FRANCISCO'",ORG,,,,,,,
17,train,438,"[1214, 1226): 'PHILADELPHIA'",ORG,,,,,,,
17,train,439,"[59, 72): 'SAN FRANCISCO'",LOC,,,,,,,
17,train,439,"[127, 138): 'Barry Bonds'",PER,,,,,,,
17,train,439,"[187, 201): 'Montreal Expos'",ORG,,,,,,,
17,train,439,"[301, 306): 'Bonds'",PER,,,,,,,
17,train,439,"[514, 524): 'Cal Ripken'",PER,,,,,,,
17,train,439,"[614, 631): 'California Angels'",ORG,,,,,,,
17,train,439,"[633, 638): 'Bonds'",PER,,,,,,,
17,train,439,"[744, 749): 'Bonds'",PER,,,,,,,
17,train,439,"[787, 795): 'New York'",ORG,,,,,,,
17,train,439,"[976, 981): 'Bonds'",PER,,,,,,,
17,train,439,"[1085, 1091): 'Giants'",ORG,,,,,,,
17,train,439,"[1093, 1105): 'Chicago Cubs'",ORG,,,,,,,
17,train,439,"[1117, 1127): 'Sammy Sosa'",PER,,,,,,,
17,train,439,"[1254, 1268): 'Atlanta Braves'",ORG,,,,,,,
17,train,439,"[1283, 1295): 'Fred McGriff'",PER,,,,,,,
17,train,440,"[68, 77): 'ROTTERDAM'",LOC,,,,,,,
17,train,440,"[229, 238): 'Amsterdam'",LOC,,,,,,,
17,train,440,"[250, 259): 'Feyenoord'",ORG,,,,,,,
17,train,440,"[271, 291): 'Jean-Paul van Gastel'",PER,,,,,,,
17,train,440,"[346, 353): 'Hiddink'",PER,,,,,,,
17,train,440,"[393, 404): 'Danny Blind'",PER,,,,,,,
17,train,440,"[472, 486): 'Ronald de Boer'",PER,,,,,,,
17,train,440,"[491, 506): 'Dennis Bergkamp'",PER,,,,,,,
17,train,440,"[598, 609): 'Netherlands'",LOC,,,,,,,
17,train,440,"[660, 665): 'Dutch'",MISC,,,,,,,
17,train,440,"[671, 685): 'Ajax Amsterdam'",ORG,,,,,,,
17,train,440,"[687, 695): 'AC Milan'",ORG,,,,,,,
17,train,440,"[707, 719): 'Edgar Davids'",PER,,,,,,,
17,train,440,"[754, 762): 'European'",MISC,,,,,,,
17,train,440,"[779, 786): 'England'",LOC,,,,,,,
17,train,440,"[864, 881): 'Edwin van der Sar'",PER,,,,,,,
17,train,440,"[883, 887): 'Ajax'",ORG,,,,,,,
17,train,440,"[890, 900): 'Ed de Goey'",PER,,,,,,,
17,train,440,"[902, 911): 'Feyenoord'",ORG,,,,,,,
17,train,440,"[925, 938): 'Frank de Boer'",PER,,,,,,,
17,train,440,"[940, 944): 'Ajax'",ORG,,,,,,,
17,train,440,"[947, 959): 'John Veldman'",PER,,,,,,,
17,train,440,"[961, 965): 'Ajax'",ORG,,,,,,,
17,train,440,"[968, 977): 'Jaap Stam'",PER,,,,,,,
17,train,440,"[979, 982): 'PSV'",ORG,,,,,,,
17,train,440,"[985, 997): 'Arthur Numan'",PER,,,,,,,
17,train,440,"[999, 1002): 'PSV'",ORG,,,,,,,
17,train,440,"[1005, 1021): 'Michael Reiziger'",PER,,,,,,,
17,train,440,"[1023, 1031): 'AC Milan'",ORG,,,,,,,
17,train,440,"[1034, 1047): 'Johan de Kock'",PER,,,,,,,
17,train,440,"[1049, 1056): 'Schalke'",ORG,,,,,,,
17,train,440,"[1077, 1093): 'Richard Witschge'",PER,,,,,,,
17,train,440,"[1095, 1099): 'Ajax'",ORG,,,,,,,
17,train,440,"[1102, 1113): 'Philip Cocu'",PER,,,,,,,
17,train,440,"[1115, 1118): 'PSV'",ORG,,,,,,,
17,train,440,"[1121, 1129): 'Wim Jonk'",PER,,,,,,,
17,train,440,"[1131, 1134): 'PSV'",ORG,,,,,,,
17,train,440,"[1137, 1148): 'Aron Winter'",PER,,,,,,,
17,train,440,"[1150, 1164): 'Internazionale'",ORG,,,,,,,
17,train,440,"[1167, 1187): 'Jean-Paul van Gastel'",PER,,,,,,,
17,train,440,"[1189, 1198): 'Feyenoord'",ORG,,,,,,,
17,train,440,"[1201, 1217): 'Clarence Seedorf'",PER,,,,,,,
17,train,440,"[1219, 1230): 'Real Madrid'",ORG,,,,,,,
17,train,440,"[1243, 1257): 'Ronald de Boer'",PER,,,,,,,
17,train,440,"[1259, 1263): 'Ajax'",ORG,,,,,,,
17,train,440,"[1266, 1280): 'Gaston Taument'",PER,,,,,,,
17,train,440,"[1282, 1291): 'Feyenoord'",ORG,,,,,,,
17,train,440,"[1294, 1306): 'Jordi Cruyff'",PER,,,,,,,
17,train,440,"[1308, 1325): 'Manchester United'",ORG,,,,,,,
17,train,440,"[1328, 1343): 'Dennis Bergkamp'",PER,,,,,,,
17,train,440,"[1345, 1352): 'Arsenal'",ORG,,,,,,,
17,train,441,"[60, 69): 'BARCELONA'",LOC,,,,,,,
17,train,441,"[96, 111): 'Atletico Madrid'",ORG,,,,,,,
17,train,441,"[218, 226): 'Giovanni'",PER,,,,,,,
17,train,441,"[235, 240): 'Pizzi'",PER,,,,,,,
17,train,441,"[249, 259): 'De la Pena'",PER,,,,,,,
17,train,441,"[284, 292): 'Esnaider'",PER,,,,,,,
17,train,441,"[301, 307): 'Pantic'",PER,,,,,,,
17,train,442,"[19, 26): 'AUSTRIA'",LOC,,,,,,,
17,train,442,"[62, 68): 'VIENNA'",LOC,,,,,,,
17,train,442,"[93, 101): 'Austrian'",MISC,,,,,,,
17,train,442,"[148, 155): 'SV Ried'",ORG,,,,,,,
17,train,442,"[158, 169): 'SV Salzburg'",ORG,,,,,,,
17,train,442,"[289, 300): 'SV Salzburg'",ORG,,,,,,,
17,train,442,"[316, 330): 'Austria Vienna'",ORG,,,,,,,
17,train,442,"[346, 356): 'Sturm Graz'",ORG,,,,,,,
17,train,442,"[371, 374): 'GAK'",ORG,,,,,,,
17,train,442,"[390, 400): 'Rapid Wien'",ORG,,,,,,,
17,train,442,"[415, 422): 'SV Ried'",ORG,,,,,,,
17,train,442,"[437, 447): 'Linzer ASK'",ORG,,,,,,,
17,train,442,"[462, 476): 'Admira/ Wacker'",ORG,,,,,,,
17,train,442,"[492, 499): 'FC Linz'",ORG,,,,,,,
17,train,443,"[20, 29): 'AUSTRALIA'",LOC,,,,,,,
17,train,443,"[74, 81): 'COLOMBO'",LOC,,,,,,,
17,train,443,"[93, 102): 'Australia'",LOC,,,,,,,
17,train,443,"[108, 116): 'Zimbabwe'",LOC,,,,,,,
17,train,443,"[155, 174): 'Singer World Series'",MISC,,,,,,,
17,train,443,"[232, 241): 'Australia'",LOC,,,,,,,
17,train,443,"[261, 269): 'Zimbabwe'",LOC,,,,,,,
17,train,444,"[43, 51): 'ZIMBABWE'",LOC,,,,,,,
17,train,444,"[72, 79): 'COLOMBO'",LOC,,,,,,,
17,train,444,"[170, 179): 'Australia'",LOC,,,,,,,
17,train,444,"[184, 192): 'Zimbabwe'",LOC,,,,,,,
17,train,444,"[226, 235): 'P. Strang'",PER,,,,,,,
17,train,444,"[238, 246): 'Whittall'",PER,,,,,,,
17,train,444,"[261, 270): 'P. Strang'",PER,,,,,,,
17,train,444,"[274, 284): 'R. Ponting'",PER,,,,,,,
17,train,444,"[293, 301): 'Whittall'",PER,,,,,,,
17,train,444,"[305, 313): 'S. Waugh'",PER,,,,,,,
17,train,444,"[327, 335): 'Whittall'",PER,,,,,,,
17,train,444,"[348, 354): 'Streak'",PER,,,,,,,
17,train,444,"[369, 377): 'Campbell'",PER,,,,,,,
17,train,444,"[380, 387): 'Brandes'",PER,,,,,,,
17,train,444,"[570, 580): 'P. Reiffel'",PER,,,,,,,
17,train,444,"[582, 593): 'D. Flemming'",PER,,,,,,,
17,train,444,"[615, 621): 'Streak'",PER,,,,,,,
17,train,444,"[643, 650): 'Brandes'",PER,,,,,,,
17,train,444,"[667, 676): 'P. Strang'",PER,,,,,,,
17,train,444,"[704, 712): 'Whittall'",PER,,,,,,,
17,train,444,"[730, 736): 'Decker'",PER,,,,,,,
17,train,444,"[747, 751): 'Shah'",PER,,,,,,,
17,train,444,"[780, 788): 'M. Waugh'",PER,,,,,,,
17,train,444,"[791, 795): 'Hogg'",PER,,,,,,,
